Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
,,Plate Lc -Dcp Large 9-10 Holes,Plaque Lc -Dcp Large  9-10 Trous,Comprimé,,,
,,Plate Lc -Dcp Large 13-14 Holes,Plaque Lc -Dcp Large 13-14 Trous,Comprimé,,,
,,Plate Lc -Dcp Large 16- + Holes,Plaque Lc -Dcp Large 16- + Trous,Pieces,,,
,,Pds Plate,Plaque Pds,Ampoule,,,
,,Plate For Hernia 15*15Cm,Plaque Pour Hernie 15*15Cm,Comprimé,,,
,,Plate For Hernia 30*30Cm,Plaque Pour Hernie 30*30Cm,Pieces,,,
,,Plate For Hernia 30*30Cm,Plaque Pour Hernie 30*30Cm,Flacon,,,
,,Reconstruction Plate 5-6 Holes,Plaque Reconstruction 5-6 Trous,Pieces,,,
,,Reconstruction Plate 5-6 Holes,Plaque Reconstruction 5-6 Trous,Flacon,,,
,,Reconstruction Plate 7-8 Holes,Plaque Reconstruction 7-8 Trous,Boîte,,,
,,Reconstruction Plate 9-+Holes,Plaque Reconstruction 9-+Trous,Ampoule,,,
,,Special Plate,Plaque Speciale,Pieces,,,
,,Special Plate,Plaque Speciale,Comprimé,,,
,,Plasmocur 40/320 Cp B/12,Plasmocur 40/320 Cp B/12,Ampoule,,,
,,Plasmocur 80Mg/640Mg B/6,Plasmocur 80Mg/640 Mg B/6,Comprimé,80mg/640mg,,
,,Plasmocur 80Mg/640Mg Cp B/8,Plasmocur 80Mg/640Mg Cp B/8,Pieces,80mg/640mg,,
,,Play Fly 04 Red,Play Fly 04 Rouge,Pieces,,,
,,Pln 60018 T 47-18-137 Brown Purple,Pln 60018 T 47-18-137 Marron Mauve,Pieces,,,
,,Pln 60032 Col 3 T 54-18-135 Purple Pink,Pln 60032  Col 3 T 54-18-135 Violet Rose,Pieces,,,
,,Pln 60032 T 54-18-135 Black Red,Pln 60032 T 54-18-135 Noir Rouge,Pieces,,,
,,Soft Blood Bag 450Ml,Poche A Sang Souple 450Ml,Pieces,450ml,,
,,Urine Bag 2L,Poche A Urine  2L,Pieces,2l,,
,,Pediatric Urine Bag,Poche A Urine Pediatrie,Pieces,,,
,,Colostomy Pouch,Poche De Colostomie,Pieces,,,
,,Non-Drainable Colostomy Bag,Poche De Colostomie Non Vidangeable,Ampoule,,,
,,Drainable Colostomy Bag,Poche De Colostomie Vidangeable,Flacon,,,
,,Single Blood Bags 250Ml,Poches A Sang Simples 250Ml,Pieces,250ml,,
,,Single Blood Bags 450Ml,Poches A Sang Simples 450Ml,Pieces,450ml,,
,,Pouch 15*22 B/500,Pochette 15*22 B/500,Pieces,,,
,,Pouch 18*24,Pochette 18*24,Pieces,,,
,,Pouch 22*30 B/500,Pochette 22*30 B/500,Pieces,,,
,,Pouch 22*32 B/250,Pochette 22*32 B/250,Pieces,,,
,,Pouch 24*30,Pochette 24*30,Pieces,,,
,,Pouch 30*40,Pochette 30*40,Pieces,,,
,,Pouch 35*35,Pochette 35*35,Pieces,,,
,,Pouch 35*43,Pochette 35*43,Pieces,,,
,,Pouch 70*11 B/2000,Pochette 70*11 B/2000,Pieces,,,
,,Packaging Pouch,Pochette Emballage,Pieces,,,
,,Police,Police,Pieces,,,
,,Polyfresh Coll F/10Ml,Polyfresh Coll F/10Ml,Ampoule,10ml,,
,,Polyfresh Eye Drops Fl/10 Ml,Polyfresh Collyre Fl/10 Ml,Comprimé,10 ml,,
,,Polyglactin N°1 Aig Ron,Polyglactin Nâ°1 Aig Ron,Pieces,,,
,,Polyglactin N°1 Res Aig Tri,Polyglactin Nâ°1 Res Aig Tri,Pieces,,,
,,Polyglactin Nâ°2 Res Aig Round,Polyglactin Nâ°2 Res Aig Ronde,Pieces,,,
,,Polyglactin N°2 Res Aig Tria,Polyglactin Nâ°2 Res Aig Tria,Pieces,,,
,,Polyglactin Nâ°2/0 Res Aig Round,Polyglactin Nâ°2/0 Res Aig Ronde,Pieces,,,
,,Polyglactin N°2/0 Res Aig Trian,Polyglactin Nâ°2/0 Res Aig Trian,Pieces,,,
,,Polygynax Caps Vag B/12,Polygynax Caps Vag B/12,Pieces,,,
,,Polygynax Caps Vag B/12,Polygynax Caps Vag B/12,Pieces,,,
,,Polygynax Ov B/12,Polygynax Ov B/12,Boîte,,,
,,Polygynax Ov B/6,Polygynax Ov B/6,Pieces,,,
,,Hec Ointment,Pommade Hec,Ampoule,,,
,,Porch,Porche,Pieces,,,
,,Porshe Design P8249 C10 T 55-18-140 Black Bordeaux Red,Porshe Design P8249 C10 T 55-18-140 Noir Bordeau Rouge,Pieces,,,
,,Disposable Blade Holder,Porte Lame De Bistouri Jectable,Pieces,,,
,,Position Ointment T/30,Positon Onguent T/30,Ampoule,,,
,,Potasium Lab,Potasium Labo,Pieces,,,
,,Potenciator Amp Buv 10Ml B/20,Potenciator Amp Buv  10Ml B/20,Pieces,10ml,,
,,Poulina Pln-60048 48-18 Plastic Multicolor,Poulina Pln-60048 48-18 Plastique Multicolor,Pieces,,,
,,Prada,Prada,Pieces,,,
,,Prada 3810 C3 Gray Night Blue,Prada 3810 C3 Gris Bleu Nuit,Pieces,,,
,,Prada Opr 20V 2Au6Si T 53-17-140 Brown Orange,Prada Opr 20V 2Au6Si T 53-17-140 Marron Orange,Pieces,,,
,,Prada Pr 600 Brown Gold,Prada Pr 600 Marron Doree,Pieces,,,
,,Prada Pr 600 Black/White,Prada Pr 600 Noir/Blanc,Pieces,,,
,,Prada Pr600 Dark Brown,Prada Pr600 Marron Foncee,Pieces,,,
,,Praxilene 200Mg Cp B/20,Praxilene 200Mg Cp B/20,Pieces,200mg,,
,,Prazol 20Mg B/28,Prazol 20Mg B/28,Boîte,20mg,,
,,Pregasafe 75Mg B/30,Pregasafe 75Mg B/30,Boîte,75mg,,
,,Pregasafe 75Mg Gel B/60,Pregasafe 75Mg Gel B/60,Ampoule,75mg,,
,,Prenursia 400G,Prenursie 400G,Pieces,400g,,
,,Female Condom Piece,Preservatif Feminin Piece,Pieces,,,
,,Male Condom,Preservatif Masculin,Pieces,,,
,,Preterax 2.5Mg/0.625B/30,"Preterax 2,5Mg/0,625 B/30",Pieces,5mg,,
,,Primolut-Nor 10Mg Cp B/30,Primolut-Nor 10Mg Cp B/30,Boîte,10mg,,
,,Primolutnor 10 Mg Cp/30,Primolutnor 10 Mg Cp/30,Comprimé,10 mg,,
,,Primperan 10Mg Inj Amp2Ml B/,Primperan 10Mg Inj Amp2Ml B/,Pieces,10mg,,
,,Princi B Fort Cp B/30,Princi B Fort Cp B/30,Pieces,,,
,,Princi B Fort Cp B/30,Princi B Fort Cp B/30,Pieces,,,
,,Prl Finecare,Prl Finecare,Pieces,,,
,,Procomil 5Mg Cpr Drag B/30,Procomil 5Mg Cpr Drag B/30,Ampoule,5mg,,
,,Procomil Cream T/5G,Procomil Creme T/5G,Flacon,5g,,
,,Procomil Fl Spray 15G,Procomil Fl Spray 15G,Ampoule,15g,,
,,Profemigr 150Mg Cp B/20,Profemigr 150Mg Cp B/20,Pieces,150mg,,
,,Profenid 0.1% F/150Ml,"Profenid 0,1% F/150Ml",Pieces,0.1%/150ml,,
,,Profenid 100Mg Amp Inj B/2,Profenid 100Mg Amp Inj B/2,Pieces,100mg,,
,,Profenid 100Mg Cp B/30,Profenid 100Mg Cp B/30,Pieces,100mg,,
,,Profenid 100Mg Inj B/2 Umcs,Profenid 100Mg Inj B/2 Umcs,Pieces,100mg,,
,,Profenid 100Mg Suppo B/12,Profenid 100Mg Suppo B/12,Pieces,100mg,,
,,Profenid 100Mg Suppo Bt 12,Profenid 100Mg Suppo Bt 12,Flacon,100mg,,
,,Profenid 50Mg Capsules B/24,Profenid 50Mg Gelu B/24,Comprimé,50mg,,
,,Profenid Inj Perf F/100Ml,Profenid Inj Perf F/100Ml,Pieces,100ml,,
,,Progynova Cp 2Mg B/20,Progynova Cp 2Mg B/20,Pieces,2mg,,
,,Prokefen 100Mg Cp B/30,Prokefen 100Mg Cp B/30,Boîte,100mg,,
,,Prolene 4/0,Prolene 4/0,Boîte,,,
,,Prolene 5/0,Prolene 5/0,Ampoule,,,
,,Extender,Prolongateur,Pieces,,,
,,Propofan Gel B/15,Propofan Gelu B/15,Pieces,,,
,,Propofan Gel B/15,Propofan Gelu B/15,Ampoule,,,
,,Prostalen Cp B/30,Prostalen Cp B/30,Ampoule,,,
,,Prostalen Lp 10Mg Cpr B/30,Prostalen Lp 10Mg Cpr B/30,Comprimé,10mg,,
,,Prostigmin Inj,Prostigmine Inj,Pieces,,,
,,Total Bt Protein,Proteine Totale Bt,Pieces,,,
,,Hernial Prosthesis,Prothese Herniere,Flacon,,,
,,Proviron 25Mg B/20,Proviron 25Mg B/20,Pieces,25mg,,
,,Prozac 20Mg Cpr B/28,Prozac 20Mg Cpr B/28,Pieces,20mg,,
,,Prurex Cream Derm Tb 40G,Prurex Creme Derm Tb 40G,Ampoule,40g,,
,,Prurex Cream T/40G,Prurex Creme T/40G,Comprimé,40g,,
,,Psa Finecare 25 Tests,Psa Finecare 25 Tests,Pieces,,,
,,Pulina Pln 60020 T 50-20-141 Fushia Pink,Pulina Pln 60020 T 50-20-141 Rose Fushia,Pieces,,,
,,Pullina 60050 T 52-17-145 Black Gold Brown,Pullina 60050 T 52-17-145 Noir Dore Marron,Pieces,,,
,,Pulmicort Susp,Pulmicort Susp,Ampoule,,,
,,Covid Backpack Sprayer,Pulverisateur A Dos Covid,Pieces,,,
,,Pyostacin 500 Mg Cpr B/16,Pyostacine 500 Mg Cpr B/16,Boîte,500mg,,
,,Pyramax 180Mg/60Mg Cp,Pyramax 180 Mg/60 Mg Cp,Pieces,180mg/60mg,,
,,Pyramax 180/60Mg Cp B/3,Pyramax 180/60Mg Cp B/3,Ampoule,60mg,,
,,Pyramax 180/60Mg Cp B/9,Pyramax 180/60Mg Cp B/9,Ampoule,60mg,,
,,Pyramax 60Mg/20Mg Sachet/1,Pyramax 60Mg/20Mg Sachet/1,Pieces,60mg/20mg,,
,,Questran 4Gr Powder B/50S,Questran 4Gr Poudre B/50S,Pieces,,,
,,"Quinimax 500Mg Inj, Amp","Quinimax  500Mg Inj , Amp",Pieces,500mg,,
,,"Quinimax 250Mg Inj, Amp","Quinimax 250Mg Inj, Amp",Pieces,250mg,,
,,Quinimax Inj B/25,Quinimax Inj B/25,Pieces,,,
,,Quinolox 200Mg B/20,Quinolox 200Mg B/20,Pieces,200mg,,
,,Rabeloc 20Mg B/10,Rabeloc 20Mg B/10,Ampoule,20mg,,
,,Rabeloc 20Mg Cp B/10,Rabeloc 20Mg Cp B/10,Comprimé,20mg,,
,,Rabeloc 20Mg Inj B/1,Rabeloc 20Mg Inj B/1,Comprimé,20mg,,
,,Rabeloc 20Mg Inj B/1,Rabeloc 20Mg Inj B/1,Comprimé,20mg,,
,,Rabeloc 20Mg Inj B/1,Rabeloc 20Mg Inj B/1,Flacon,20mg,,
,,Rabemac 20 Mg Cpr B/14,Rabemac 20 Mg Cpr B/14,Pieces,20 mg,,
,,Spine Analgesia,Rachis Analgesie,Pieces,,,
,,Radioselectan Uv 76% 20Ml B/,Radioselectan Uv 76% 20Ml B/,Pieces,76%/20ml,,
,,Ramithiazide 10/25Mg Cp B/30,Ramithiazide 10/25Mg Cp B/30,Pieces,25mg,,
,,Ramizid 5Mg Cpr B/30,Ramizid 5Mg Cpr B/30,Pieces,5mg,,
,,Ranferon 12 Caps B/30,Ranferon 12 Caps B/30,Ampoule,,,
,,Ranferon Gel B/100,Ranferon Gel B/100,Boîte,,,
,,Ranferon Plus Gelu B/30,Ranferon Plus Gelu B/30,Comprimé,,,
,,Ranferon-12 Sp 200Ml,Ranferon-12 Sp 200Ml,Ampoule,200ml,,
,,Ranferon-12 Sp F/200Ml,Ranferon-12 Sp F/200Ml,Flacon,200ml,,
,,Ranferon12 Gel B/30,Ranferon12 Gel B/30,Comprimé,,,
,,Rapiclav 1G Cp B/14,Rapiclav 1G Cp B/14,Pieces,1g,,
,,Rapiclav 1G Cpr B/14,Rapiclav 1G Cpr B/14,Comprimé,1g,,
,,Rapiclav 500 Cp B/21,Rapiclav 500 Cp B/21,Pieces,,,
,,Rapiclav 625 Cp 7 B/3,Rapiclav 625 Cp 7 B/3,Pieces,,,
,,Ray Ban 58043 T 44-16-126 Orange Black,Ray Ban 58043 T 44-16-126 Orange Noir,Pieces,,,
,,Ray Ban 8100 T 45-16-126 Sky Blue Green,Ray Ban 8100 T 45-16-126 Bleu Ciel Vert,Pieces,,,
,,Ray Ban 8100T 45-16-126 Black,Ray Ban 8100 T 45-16-126 Noir,Pieces,,,
,,Ray Ban 8100 T 45-16-126 Black Blue,Ray Ban 8100 T 45-16-126 Noir Bleu,Pieces,,,
,,Endo Gia Refill,Recharge Endo Gia,Ampoule,,,
,,Recormon 2000 Iu B/6,Recormon 2000 Ui B/6,Pieces,,,
,,Redban,Redban,Pieces,,,
,,Redon Device 600Ml,Redon Dispositif 600Ml,Flacon,600ml,,
,,Renerve P Gel B/30,Renerve P Gel B/30,Pieces,,,
,,Renerve Plus Bt Gel B/30,Renerve Plus Bt Gel B/30,Pieces,,,
,,Renerve Plus Gel B/30,Renerve Plus Gel B/30,Pieces,,,
,,Renerve Plus Gel B/30,Renerve Plus Gelu B/30,Comprimé,,,
,,Renutryl Lact F/375Ml,Renutryl Lact F/375Ml,Pieces,375ml,,
,,Restriva (Metamizole) Inj B/1,Restriva (Metamizole) Inj B/1,Pieces,,,
,,Reumoxicam 20Mg Suppo B/12,Reumoxicam 20Mg Suppo B/12,Boîte,20mg,,
,,Auto Developer 2*20L,Revelateur Auto 2*20L,Pieces,20l,,
,,Car Developer Can /5L,Revelateur Auto Bidon /5L,Pieces,5l,,
,,Manual Developer B/5L,Revelateur Manuel B/5L,Pieces,5l,,
,,Revital Capsule B/30,Revital Gelule B/30,Pieces,,,
,,Revitalose Amp Buv B/10*2,Revitalose Amp Buv B/10*2,Pieces,,,
,,Revitalose Ss Sol Buv Amp/5Ml B/20,Revitalose Ss Sol Buv Amp/5Ml B/20,Ampoule,5ml,,
,,Rhinofluimicil Gtte Nas F/10,Rhinofluimicil Gtte Nas F/10,Pieces,,,
,,Riabal 30Mg Cp B/20,Riabal 30Mg Cp B/20,Pieces,30mg,,
,,Ribatran Comp B/20,Ribatran Comp B/20,Comprimé,,,
,,Ribatran Cp B/20,Ribatran Cp B/20,Ampoule,,,
,,Ridmal 120/960Mg Cp B/3,Ridmal 120/960Mg Cp B/3,Ampoule,960mg,,
,,Ridmal 40/320Mg Cp B/9,Ridmal 40/320Mg Cp B/9,Comprimé,320mg,,
,,Ridmal 40/320Mg Cpr B/9,Ridmal 40/320Mg Cpr B/9,Ampoule,320mg,,
,,Ridmal 80/640Mg Cp B/3,Ridmal 80/640Mg Cp B/3,Ampoule,640mg,,
,,Ridmal 80Mg/640Mg Cp B/6,Ridmal 80Mg/640Mg Cp B/6,Comprimé,80mg/640mg,,
,,Rinialer 10Mg Cp,Rinialer 10Mg Cp,Boîte,10mg,,
,,Rinialer 10Mg Cpr B/20,Rinialer 10Mg Cpr B/20,Boîte,10mg,,
,,Rinogrip Gr Sol Buv Ss Sach B/10,Rinogrip Gr Sol Buv Ss Sach B/10,Ampoule,,,
,,Rinogrip Sach B/10,Rinogrip Sach B/10,Boîte,,,
,,Rinogrip Sachet B/10,Rinogrip Sachet B/10,Pieces,,,
,,Ripaxil 750Mg B/1,Ripaxil 750Mg B/1,Pieces,750mg,,
,,Risordan 20Mg,Risordan 20Mg,Pieces,20mg,,
,,Rivaclox 250Mg Susp Fl/100M,Rivaclox 250Mg Susp  Fl/100M,Pieces,250mg/100ml,,
,,Rivaclox 250Mg Susp F/100Ml,Rivaclox 250Mg Susp F/100Ml,Boîte,250mg/100ml,,
,,Rivaclox 500Mg B/10,Rivaclox 500Mg B/10,Pieces,500mg,,
,,Rivaclox 500Mg B/100,Rivaclox 500Mg B/100,Pieces,500mg,,
,,Rivaclox 500Mg Capsule B/20,Rivaclox 500Mg Gelule B/20,Pieces,500mg,,
,,Rivamox 500Mg (Amoxicillin),Rivamox 500Mg (Amoxicilline),Pieces,500mg,,
,,Rivaprazole 20Mg Comp B/14,Rivaprazole 20Mg Comp B/14,Pieces,20mg,,
,,Rivaxime 200Mg Gel B/5,Rivaxime 200Mg Gel B/5,Pieces,200mg,,
,,Rivaxime Cefixime 200Mg Su,Rivaxime Cefixime 200Mg Su,Pieces,200mg,,
,,Rivaxin 100Mg/100Ml Sp,Rivaxine 100Mg/100Ml Sp,Pieces,100mg/100ml,,
,,Rivotril 2Mg Comp B/40 Afr,Rivotril 2Mg Comp B/40 Afr,Pieces,2mg,,
,,Roberto,Roberto,Pieces,,,
,,Robestar 10Mg Cpr B/30,Robestar 10Mg Cpr B/30,Ampoule,10mg,,
,,Robestar 5Mg Cp B/30,Robestar 5Mg Cp B/30,Pieces,5mg,,
,,Robestar 5Mg Cp B/30,Robestar 5Mg Cp B/30,Ampoule,5mg,,
,,3 Way Valve Piece,Robinet A 3 Voies  Piece,Pieces,,,
,,Rocephine 1G/10Ml Inj Iv B/1,Rocephine 1G/10Ml Inj Iv B/1,Pieces,1g/10ml,,
,,Rocephine 2G Inj Iv B/1,Rocephine 2G Inj Iv B/1,Ampoule,2g,,
,,Rocmaline Amp Buv 10Ml B/20,Rocmaline Amp Buv 10Ml B/20,Boîte,10ml,,
,,Rocuronium 50Mg/5Ml Inj,Rocuronium 50Mg/5Ml Inj,Boîte,50mg/5ml,,
,,Ronalin 2.5Mg B/30,Ronalin 2.5Mg B/30,Pieces,2.5mg,,
,,Rosuvastatin 10Mg Cp B/30,Rosuvastatin 10Mg Cp B/30,Ampoule,10mg,,
,,Rosuvastatin 10Mg Cp B/30,Rosuvastatin 10Mg Cp B/30,Ampoule,10mg,,
,,Rovamycin 1.5Mg B/16,Rovamycine 1.5Mg B/16,Pieces,1.5mg,,
,,Rovamycin 3Mui Cp B/10,Rovamycine 3Mui Cp B/10,Pieces,,,
,,Roxyl 300Mg B/5,Roxyl 300Mg B/5,Pieces,300mg,,
,,Rozan 10 Mg Cp B/3*10,Rozan 10 Mg Cp B/3*10,Ampoule,10 mg,,
,,Rubix Gel,Rubix Gel,Ampoule,,,
,,Rulid 150Mg Cp B/10,Rulid 150Mg Cp B/10,Pieces,150mg,,
,,Sk,S K,Pieces,,,
,,S Now White Prin 60165 Metal,S Now White Prin 60165 Metal,Pieces,,,
,,Ors Sachet,S R O  Sachet,Pieces,,,
,,Srob/100,S R O B/100,Pieces,,,
,,Paper Bag Gm 16X29 B/1000,Sac Papier Gm 16X29 B/1000,Comprimé,,,
,,Bags Packaging B/100,Sachets Emballage B/100,Pieces,,,
,,Trash Bags,Sacs Poubelles,Pieces,,,
,,Saforelle Baby Cleansing Gel 250Ml,Saforelle Bebe Gel Lavant 250Ml,Ampoule,250ml,,
,,Saforelle F/100Ml,Saforelle F/100Ml,Pieces,100ml,,
,,Entry Tr 90 T18005 C101 Transparent,Saisite Tr 90 T18005 C101 Transparent,Pieces,,,
,,Seizure Tr 90 T18005 C101 Transparent Purple,Saisite Tr 90 T18005 C101 Transparent Violet,Pieces,,,
,,Sale 0.9%/250Ml,"Sale 0,9%/250Ml",Pieces,0.9%/250ml,,
,,Dirty 0.9% 1000Cc,Sale 0.9% 1000Cc,Pieces,0.9%/1000cc,,
,,Sale 0.9% 3000Ml,Sale 0.9% 3000 Ml,Pieces,0.9%/3000ml,,
,,Sale 0.9% Fl 500Ml,Sale 0.9% Fl 500Ml,Pieces,0.9%/500ml,,
,,Sale 0.9% Umcs 500Cc,Sale 0.9% Umcs 500Cc,Pieces,0.9%/500cc,,
,,Salty 0.9% 250Cc,"Salee 0,9% 250Cc",Flacon,0.9%/250cc,,
,,Salifen Gel,Salifen Gel,Pieces,,,
,,Salvatis Powder Bt 70G,Salvatis Poudre Bt 70G,Ampoule,70g,,
,,Sapphire Ad 1000/125Mg Sch/12,Saphir Ad 1000/125Mg Sch/12,Ampoule,125mg,,
,,Sargenor 1G Amp Buv 5Ml B/20,Sargenor 1G Amp Buv 5Ml B/20,Ampoule,1g/5ml,,
,,Household Soap,Savon De Menage,Pieces,,,
,,Sayana-Press,Sayana Press,Ampoule,,,
,,Scarid Gel,Scarid Gel,Ampoule,,,
,,Gigli Saw,Scie De Gigli,Boîte,,,
,,Sedaspir 500Mg/20Mg/50Mg Cpr T/20,Sedaspir 500Mg/20Mg/50Mg Cpr T/20,Ampoule,500mg/20mg/50mg,,
,,Sedorrhoide Crisis Hem Cr T/30G,Sedorrhoide Crise Hem Cr T/30G,Flacon,30g,,
,,Sedorrhoide Crisis Hem Suppo B/8,Sedorrhoide Crise Hem Suppo B/8,Flacon,,,
,,See Yeah 1108 T 54-19-142 Black Silver,See Yeah 1108 T 54-19-142 Noir Argent,Pieces,,,
,,Sefurox 250 Mg Cp B/10,Sefurox 250 Mg Cp B/10,Pieces,250 mg,,
,,Sefurox 500Mg Cp B/10,Sefurox 500Mg Cp B/10,Pieces,500mg,,
,,Sekisan Sol Buv F/120Ml,Sekisan Sol Buv F/120Ml,Flacon,120ml,,
,,Sekisan Sol Buv F/120Ml,Sekisan Sol Buv F/120Ml,Pieces,120ml,,
,,Sekrol 15Mg/5Ml Susp Buv F/100Ml,Sekrol 15Mg/5Ml Susp Buv F/100Ml,Boîte,15mg/100ml,,
,,Sekrol 30/Mg/5Ml Ad Sus Buv,Sekrol 30/Mg/5Ml Ad Sus Buv,Pieces,5ml,,
,,Sekrol 30Mg/5Ml Ad Susp Buv F/100Ml,Sekrol 30Mg/5Ml Ad Susp Buv F/100Ml,Ampoule,30mg/5ml,,
,,Sensaya Sen 13C03Grey/Black,Sensaya Sen 13C03Gris/Noir,Pieces,,,
,,Septocide R-Plus Fl/1L,Septocide R-Plus Fl/1L,Pieces,1l,,
,,Seretide Diskus 100/50 600Doses,Seretide Diskus 100/50 600Doses,Pieces,,,
,,Syringe 10 Ml B/1,Seringue  10 Ml B/1,Pieces,10 ml,,
,,Syringe Insulin 1Ml B/1,Seringue  Insuline 1Ml B/1,Pieces,1ml,,
,,Syringe Insulin 1Ml B/10,Seringue  Insuline 1Ml B/10,Pieces,1ml,,
,,Syringe 0.5Ml B/100,"Seringue 0,5Ml B/100",Pieces,0.5ml,,
,,Syringe 10 Ml Program,Seringue 10 Ml Programme,Pieces,10 ml,,
,,Syringe 10Ml B/100,Seringue 10Ml B/100,Pieces,10ml,,
,,20Cc Syringe,Seringue 20Cc,Comprimé,,,
,,Syringe 20Mlb/1,Seringue 20Mlb/1,Pieces,20ml,,
,,Syringe 2Ml B/1,Seringue 2Ml B/1,Pieces,2ml,,
,,Syringe 2Ml B/100,Seringue 2Ml B/100,Pieces,2ml,,
,,Syringe 30Ml,Seringue 30Ml,Pieces,30ml,,
,,Syringe 3Ml B/1,Seringue 3Ml B/1,Pieces,3ml,,
,,Syringe 5Ml B/1,Seringue 5Ml B/1,Pieces,5ml,,
,,Syringe 5Ml B/100,Seringue 5Ml B/100,Pieces,5ml,,
,,Syringe 60Cc Small Tip,Seringue 60Cc Petite Embout,Pieces,,,
,,60Ml Large Tip Syringe,Seringue 60Ml Grand Embout,Pieces,60ml,,
,,Anti-Venomous Serum,Serum Anti-Venimeux,Pieces,,,
,,Serum Control P,Serum Control P,Pieces,,,
,,Bt Normal Control Serum,Serum Controle Normal Bt,Pieces,,,
,,Normal Control Serum,Serum De Controle Normal,Pieces,,,
,,Dirty Serum 0.9% 500Ml,"Serum Sale 0,9% 500Ml",Pieces,0.9%/500ml,,
,,Serviflox 500 Mg Cp B/10,Serviflox 500 Mg Cp B/10,Pieces,500 mg,,
,,Serviflox 750 Mg Cp B/10,Serviflox 750 Mg Cp B/10,Ampoule,750 mg,,
,,Calibration Set,Set De Calibrage,Flacon,,,
,,External Ventriculo Bypass Set,Set Dederivation Ventriculo Externe,Ampoule,,,
,,Ventriculo Peritoneal Diversion Set,Set Dederivation Ventriculo Peritoneale,Boîte,,,
,,Setronax 2Mg Inj B/15,Setronax 2Mg Inj B/15,Pieces,2mg,,
,,Setronax 2Mg/Ml Amp Inj B/5,Setronax 2Mg/Ml Amp Inj B/5,Pieces,2mg/ml,,
,,Setronax Amp Inj 8Mg/4Mg B/5,Setronax Amp Inj 8Mg/4Mg B/5,Ampoule,8mg/4mg,,
,,Setronax Inj B/1,Setronax Inj B/1,Pieces,,,
,,Sgot Bt,Sgot Bt,Pieces,,,
,,Sgpt-Bt,Sgpt Bt,Pieces,,,
,,"Sheath Fluid,5L","Sheath Fluid,5L",Pieces,5l,,
,,Shelcal 500Mg Cp B/15,Shelcal 500Mg Cp B/15,Pieces,500mg,,
,,Silybon 140Mg Cp B/10,Silybon 140Mg Cp B/10,Pieces,140mg,,
,,Silybon 140Mg Cp B/30,Silybon 140Mg Cp B/30,Pieces,140mg,,
,,Sinemet 100/10Mg Comp B/100,Sinemet 100/10Mg Comp B/100,Ampoule,10mg,,
,,Sintrom 4Mg,Sintrom 4Mg,Ampoule,4mg,,
,,Sinus,Sinus,--  KIT CP,,,
,,Sitravel Chloride Pot B/5,Sitravel Chlorure De Pot B/5,Pieces,,,
,,Sitrus Sr Cpr B/30,Sitrus Sr Cpr B/30,Boîte,,,
,,Skenan Lp 100Mg B/14 Cp,Skenan Lp 100Mg B/14 Cp,Boîte,100mg,,
,,Skenan Lp 10Mg B/14 Cp,Skenan Lp 10Mg B/14 Cp,Ampoule,10mg,,
,,Skenan Lp 30Mg Ethylpharm Gel B/14,Skenan Lp 30Mg Ethylpharm Gel B/14,Ampoule,30mg,,
,,Skenan Lp 30Mg Gel B/14,Skenan Lp 30Mg Gel B/14,Ampoule,30mg,,
,,Skenan Lp 30Mg Gel B/14,Skenan Lp 30Mg Gel B/14,Comprimé,30mg,,
,,Skenan Lp 60Mg Ethypharm Gel B/14,Skenan Lp 60Mg Ethypharm Gel B/14,Boîte,60mg,,
,,Skiacol O.5% Coll Fl/0.5Ml,Skiacol O.5% Coll Fl/0.5Ml,Pieces,0.5%/0.5ml,,
,,Skilax Gtte,Skilax  Gtte,Pieces,,,
,,Skilax Buv Gtte Fl 15Ml,Skilax Buv Gtte Fl 15Ml,Pieces,15ml,,
,,Smecta Pdr Sach B/30,Smecta Pdr  Sach B/30,Pieces,,,
,,Smecta Sa B/1,Smecta Sa B/1,Ampoule,,,
,,Smecta Sach B:10,Smecta Sach B:10,Pieces,,,
,,Smecta Sach B/30,Smecta Sach B/30,Pieces,,,
,,Soclav 1G Sachet B/16,Soclav 1G Sachet B/16,Pieces,1g,,
,,Soclav 500Mg Sachet B/16,Soclav 500Mg Sachet B/16,Boîte,500mg,,
,,Soclav 562.5 Mg Bag/B16,Soclav 562.5 Mg Sacht/B16,Comprimé,562.5 mg,,
,,Sodrol 40Mg Inj B/1,Sodrol 40Mg Inj B/1,Pieces,40mg,,
,,Soffban 10Cm R,Soffban 10Cm R,Pieces,,,
,,Soft Band 10Cm B/1,Soft Band 10Cm B/1,Pieces,,,
,,Soft Band 15Cm B/1,Soft Band 15Cm B/1,Pieces,,,
,,Softacort,Softacort,Ampoule,,,
,,Softband Plus 2.70Mx 10Cm Bsn,Softband Plus 2.70M X 10Cm Bsn,Boîte,,,
,,Softdrops Eye Drops 10Ml,Softdrops  Collyre 10Ml,Comprimé,10ml,,
,,Solcer (Omepraz) 40Mg Inj B/,Solcer (Omepraz) 40Mg Inj B/,Pieces,40mg,,
,,Solcer 20Mg Capsule B/28,Solcer 20Mg Gelule B/28,Pieces,20mg,,
,,Solcer 40Mg Inj B/1,Solcer 40Mg Inj B/1,Pieces,40mg,,
,,Solcer(Omeprazole) 40Mg Inj Umcs,Solcer(Omeprazole) 40Mg Inj Umcs,Pieces,40mg,,
